id,happiness,birth,edu,income,floor_area,height_cm,weight_jin,health,media_5
1,4,1959,11,20000,45,176,155,3,4
2,4,1992,12,20000,110,170,110,5,5
3,4,1967,4,2000,120,160,122,4,1
4,5,1943,3,6420,78,163,170,4,1
5,4,1994,12,-1,70,165,110,5,5
6,5,1946,2,5000,300,172,140,5,1
7,4,1963,4,-3,89,160,120,2,1
8,4,1959,4,-1,130,176,140,3,1
9,4,1952,3,1600,36,175,95,2,1
10,4,1985,3,60000,80,172,140,4,4
11,4,1988,6,24000,200,165,100,4,5
12,4,1968,1,8000,199,173,120,4,1
13,4,1964,10,36000,80,171,120,4,4
14,2,1939,3,40000,56,156,115,1,1
15,4,1935,1,1000,40,136,65,1,1
16,4,1983,4,45000,120,185,185,4,5
17,4,1974,4,0,63,162,120,2,4
18,4,1962,6,0,90,155,90,2,1
19,4,1976,7,100000,77,170,135,5,4
20,5,1965,4,100000,91,175,160,5,4
21,4,1951,4,25000,71,165,130,2,1
22,5,1948,1,2000,100,160,120,1,1
23,4,1980,3,5000,220,154,90,4,1
24,4,1942,6,48000,80,172,120,3,2
25,4,1956,6,-1,63,165,65,4,4
26,4,1970,4,20000,80,156,100,4,2
27,5,1966,4,19200,117,161,126,4,1
28,4,1963,4,10000,79,158,140,3,3
29,3,1992,10,40000,140,183,135,4,5
30,5,1947,1,3000,80,168,110,2,1
31,4,1979,11,80000,57,171,146,4,5
32,4,1965,4,20000,90,175,100,4,1
33,4,1926,12,100000,70,170,120,2,1
34,4,1987,4,150000,240,168,98,5,4
35,4,1937,1,660,40,150,80,2,1
36,4,1957,4,20000,25,172,150,4,1
37,4,1969,-8,60000,70,165,105,5,3
38,3,1960,6,15600,24.2,173,135,4,1
39,5,1971,10,-3,180,160,120,4,4
40,4,1960,3,15000,180,160,105,5,1
41,4,1973,4,12000,300,169,120,4,2
42,4,1959,4,10000,15,160,122,3,1
43,4,1969,4,20000,90,162,115,3,3
44,5,1984,4,10000,56,159,115,3,3
45,5,1997,6,0,126,160,112,5,5
46,4,1993,12,3000,200,167,120,4,5
47,4,1993,4,55000,200,170,125,5,5
48,4,1955,1,5000,65,160,125,4,1
49,5,1951,3,20000,97,175,125,5,1
50,3,1961,4,15000,50,170,130,5,1
51,4,1933,1,48000,100,155,100,4,1
52,5,1984,4,30000,160,186,170,4,5
53,5,1997,6,0,60,170,120,4,5
54,4,1985,10,80000,90,180,150,4,3
55,4,1944,4,12000,34,160,140,3,1
56,4,1950,4,30000,40,170,160,3,4
57,4,1954,10,24000,57,160,130,4,1
58,4,1965,4,3600,100,158,125,4,1
59,4,1982,3,2500,333,157,130,2,3
60,4,1969,4,35000,120,175,175,5,1
61,4,1996,6,5000,300,180,120,5,4
62,4,1954,3,0,234,156,130,2,1
63,3,1960,8,5000,100,176,154,4,1
64,4,1945,6,38000,115,162,122,2,5
65,3,1944,1,20000,180,168,118,3,1
66,4,1922,4,39600,79,150,85,1,1
67,1,1943,3,10660,80,165,100,1,1
68,4,1983,6,0,110,178,120,3,2
69,4,1962,4,20000,200,160,110,3,1
70,4,1996,12,0,120,158,140,4,4
71,4,1968,1,0,200,158,124,5,1
72,5,1954,7,50000,64,169,130,3,5
73,5,1947,10,44400,60,160,98,4,3
74,4,1968,4,10000,266,165,100,4,1
75,4,1971,12,100000,100,170,150,5,5
76,3,1968,4,-3,105,173,125,3,1
77,5,1968,3,200000,96,160,130,2,2
78,4,1949,4,40000,60,168,140,4,1
79,3,1977,4,10000,128,160,130,4,1
80,1,1969,3,20000,85,173,126,3,1
81,4,1987,8,120000,57,170,135,4,5
82,4,1947,3,2000,120,155,120,4,1
83,3,1974,4,1400,40,166,105,2,1
84,4,1992,10,30000,900,162,95,4,5
85,5,1955,4,20000,40,164,110,4,1
86,1,1954,6,0,200,150,90,1,1
87,4,1952,3,25000,200,168,125,3,1
88,2,1960,4,20000,38,170,115,4,1
89,4,1954,4,30000,208,165,130,4,4
90,5,1970,3,5000,150,150,130,2,1
91,4,1977,4,0,20,155,110,3,5
92,2,1979,4,10000,50,164,98,1,1
93,3,1965,3,5000,100,168,130,2,1
94,1,1941,3,900,60,165,98,2,1
95,4,1970,6,50000,67,183,160,5,5
96,3,1963,3,8000,80,170,120,3,1
97,3,1980,3,0,200,152,117,1,3
98,4,1987,4,60000,60,163,120,5,5
99,4,1995,4,30000,90,172,105,4,5
100,3,1962,6,60000,58,175,130,4,5
101,4,1951,3,1000,120,164,110,3,1
102,5,1982,4,10000,306,156,110,5,4
103,5,1949,3,36000,55,160,134,4,1
104,4,1952,3,0,200,159,120,2,1
105,4,1975,4,3600,75,149,110,3,2
106,4,1978,4,15000,64,156,108,3,1
107,3,1995,12,0,60,168,104,4,5
108,3,1988,12,30000,70,170,130,4,4
109,4,1963,13,18000,63,165,150,4,3
110,4,1966,3,10000,100,165,100,3,1
111,4,1962,6,40000,108,167,160,3,1
112,4,1936,1,0,230,150,100,5,1
113,3,1975,4,15000,50,160,100,5,1
114,4,1978,9,80000,450,169,144,4,4
115,4,1965,4,8000,59,158,108,5,1
116,3,1963,1,6000,120,150,85,3,1
117,4,1965,4,10000,15,161,124,2,1
118,4,1980,4,-1,85,172,152,5,3
